payment_month_year,merchant_id,total_order_count,order_count_w_delivery,order_count_w_rto,email,email_cc,name,rto_invoiced,reminder_sent,rto_amount,invoice_status,status,order_percentage
2023-04,4af5pL6Gz4AElE,38,35,2,kausshal@teabox.com,diwaker@teabox.com,Teabox,2023-09-12,2023-09-14,300.0,Success,,0.9211
2023-04,Bair42uufy4vvx,256,0,0,suraj@aegispersonalcare.com,,AEGIS PERSONAL CARE LLP,,2024-05-14,0.0,,Pending status,0.0
2023-04,CHRCWLxe4ER5GP,55,30,4,hello@livingwaters.co.in ,,Living Waters Creative Studio,,2024-05-14,400.0,,Pending status,0.5455
2023-04,CjaeQlPFXFvaLN,1125,1118,188,karishma@faebeauty.in,mayur@faebeauty.in ,FAE BEAUTY PRIVATE LIMITED,2023-10-29,2023-09-14,10948.119999999999,Success,,0.9938
2023-04,CucIf6figokelh,27,0,0,bombaylooms@gmail.com,,Bombay Looms,,2024-05-14,0.0,,Pending status,0.0
2023-04,CyFgPUrwzJ5VhG,163,125,15,vidhi@oleumcottage.com,,Cocoburra Cosmeceuticals Private Ltd.,,2024-05-14,1200.0,,Pending status,0.7669
2023-04,DRA8pvry1C4oTC,730,730,70,abhishek@arborealstevia.com,accounts@arborealstevia.com,Arboreal Bioinnovations Pvt Ltd,2023-10-29,,8750.0,Success,,1.0
2023-04,DUKiYoYvbaUXud,1295,0,0,folliculartechnologies@gmail.com,,follicular technologies private limited,,2024-05-14,0.0,,Pending status,0.0
2023-04,Dq1Jah4WlPL0qX,80,75,18,karan.jain@goodbrandsindia.com,,Good brands for a healthy life Pvt. Ltd.,2023-10-29,,1350.0,Success,,0.9375
2023-04,Dq7VZ3fMp7qQQ7,1336,1323,242,sugandhini@thehadenaturals.com,,The Hade,2023-10-29,,13392.699999999999,Success,,0.9903
2023-04,E2NWmnnFI68dlm,158,150,17,tasuvure@gmail.com,arnavsaraf1309@gmail.com,HI LIFE EXPORTS PRIVATE LIMITED,2024-01-10,2023-12-28,5950.0,Success,,0.9494
2023-04,EFuW7roPMY4a1a,958,818,106,namhyafoods@gmail.com,,Namhya foods Private limited,2023-10-29,2023-09-14,7950.0,Success,,0.8539
2023-04,Eh1Ax67DJ9mNdY,35,9,4,info@leaderbicycles.com,,Jindal Fine Industries,,2024-05-14,3200.0,,Pending status,0.2571
2023-04,EyqQxodBBBYpm6,812,176,39,fullyfilmy.in@gmail.com,,Plan Z Digital Private Limited,,2024-05-14,3120.0,,Pending status,0.2167
2023-04,FGmEEx9rbF5e8F,588,560,133,mail.ecentric@gmail.com,salendra@ecentric.in,Ecentric India Pvt Ltd,2023-10-19,,9975.0,Success,,0.9524
2023-04,FiVc88jM7AeSta,343,214,23,punammetalcrafts@gmail.com,,Punam Metalcrafts,,2024-05-14,5410.12,,Pending status,0.6239
2023-04,G4WBGNh0UU0RUp,659,659,103,support@stylefeathers.com,,Style Feathers,2023-11-18,2023-11-14,6050.339999999998,Success,,1.0
2023-04,G6XfSND0uWWQzn,3,0,0,ashwath@advaitindia.com,,Advait Fashion Management Pvt Ltd,,2024-05-14,0.0,,Pending status,0.0
2023-04,GU1l44CZy5ajTk,18,18,4,info@quickpharmacy.in,,BOXOFHEALTH INDIA PRIVATE LIMITED,2023-10-29,2023-09-14,320.0,Success,,1.0
2023-04,GX2Z0I7L07K19g,7,4,0,"info@notsosure.in
",,NOTSOSURE,,,0.0,Success,,0.5714
2023-04,GYxvSchZt2syEE,532,0,0,divakar.venkat@hh.global,,HEALTH AND HAPPINESS (H&H) TRADING INDIA PRIVATE LIMITED,,2024-05-14,0.0,,Pending status,0.0
