merchant_id,ramp_up_date,rampup_100_percent_flag,blacklisted_flag
K9XeiYWyLZ2eUM,2024-06-21,true,false
Il4L5oRl37phRM,2024-06-13,true,false
H6G7hCmu7gVaXt,2024-06-13,true,false
Gjg0faqjOOxjmp,2024-06-13,false,false
FJWw5D6R86gSjU,2024-06-21,true,false
I7AsvpbJy5c2yw,2024-06-21,false,false
JccWh1TlKpF2rS,2024-06-21,false,false
JbnvfnIvxZxmBD,2024-06-21,false,false
Gdi9LckYb2kd24,2024-06-21,false,false
KfdyK44zhZDA7k,2024-06-21,false,false
6QFL5DYDJiDkiq,2024-06-21,true,false
I7v8b9uva80U8x,2024-06-21,true,false
NGXUxwH7D1ZgCI,2024-06-13,true,false
NK83EfeU093bXM,2024-06-13,false,false
NCCnhXvn9EfN2A,2024-06-13,false,false
NEyq9VfKI0yWvi,2024-06-21,false,false
JRuo1QbPjcSLkL,2024-06-13,false,false
LaRXtUjv9GEX3z,2024-06-13,false,false
N3tyVh2DMWTl1V,2024-06-13,false,false
NHjbYnLENAlZuh,2024-06-13,false,false
NNgfRGiazhZvlj,2024-06-13,false,false
Fo2g8LOS7RvwAP,2024-06-21,false,false
K9nMHIPDVHFtCj,2024-06-21,false,false
EKvyLJJ7sqJRfl,2024-06-21,false,false
IAMlTzEE39OeTj,2024-06-13,false,false
Kj2kUOIemrwvz0,2024-06-13,false,false
MnhpWBJKlWescR,2024-06-21,false,false
8heOQEfqqJ9nsO,2024-06-21,false,false
N3DQf6dXY9utIM,2024-06-13,false,false
JraSUB0Z3WdFVu,2024-06-21,false,false
NZwqUjKPO4Cvzl,2024-06-13,true,false
NI5HBe7I0o5Ivf,2024-06-13,false,false
NiC6BTuokSbBuL,2024-06-21,false,false
LqpVVB32hgyfqo,2024-06-13,false,false
NZt5rnLt0epHNb,2024-06-13,false,false
NaJ0WzcbH3awlU,2024-06-21,false,false
NbTFguNFDy3awV,2024-06-13,false,false
GIWWUkv9rbyUb7,2024-06-21,false,false
NYk63zrYDSF89D,2024-06-13,false,false
NjLrf6p1pUyo2C,2024-06-13,true,false
HnoXm0g1Lb9ykn,2024-06-13,true,false
FIewk6CkOl7nBG,2024-06-21,true,false
FrWdGoT6C1OqL4,2024-06-21,true,false
NlP3uf1ZU6WwWK,2024-06-21,false,false
HXXgaQK2SHZFAR,2024-06-21,false,false
NhaWlsocHc0Tx7,2024-06-21,false,false
NPzN4Nzy3DaXuF,2024-06-21,false,false
JnzExRNcbjXjjz,2024-06-21,false,false
NvIU2p3YR9bJ5h,2024-06-21,false,false
O1yNK0QnVngiXZ,2024-06-13,false,false
CdjFXPOOxdqhFY,2024-06-13,false,false
O63JhOOHnMuhnR,2024-06-13,false,false
Ne06aMeCFdxr1e,2024-06-13,false,false
AIOzWQ3yUI3WlK,2024-06-13,false,false
LUE4RcGxmgvjGK,2024-06-13,false,false
Jsl5tkzF3M4IfZ,2024-06-13,false,false
KVxa4h1f8iR1dv,2024-06-13,true,false
NHnL91LWWSAHSM,2024-06-13,false,false
BSliv8OO93Akaw,2024-06-21,false,false
KmF0FC4TH6Xf2y,2024-06-21,false,false
FAXmtb8O7qfTA0,2024-06-21,false,false
KaMpKmqcN46zJw,2024-06-13,false,false
HTBmzHJZ0K1ZWE,2024-06-21,false,false
H6g3zLCqDwNhv4,2024-06-21,false,false
FlahYTGP94b8pb,2024-06-21,false,false
BOHnLhjiXMZgrP,2024-06-13,false,false
HFmJ5BoCIzaVA9,2024-06-13,false,false
Ig8szpBio1i2ob,2024-06-13,false,false
BTfA2QYslX2w3y,2024-06-21,false,false
KijiyepMpjPn0p,2024-06-21,false,false
IkLuiiPC0ADyIU,2024-06-13,false,true
HW0UTDrBlH9T2f,2024-06-21,false,false
