payment_month_year,merchant_id,total_order_count,order_count_w_delivery,order_count_w_rto,email,email_cc,name,rto_invoiced,reminder_sent,rto_amount,invoice_status,status,order_percentage
2023-04,4af5pL6Gz4AElE,38,35,2,kausshal@teabox.com,diwaker@teabox.com,Teabox,2023-09-12,2023-09-14,300.0,Success,,0.9211
2023-04,Bair42uufy4vvx,256,0,0,suraj@aegispersonalcare.com,,AEGIS PERSONAL CARE LLP,,2024-11-14,0.0,,Pending status,0.0
2023-04,CHRCWLxe4ER5GP,55,30,4,hello@livingwaters.co.in ,,Living Waters Creative Studio,,2024-11-14,400.0,,Pending status,0.5455
2023-04,CjaeQlPFXFvaLN,1125,1118,188,karishma@faebeauty.in,mayur@faebeauty.in ,FAE BEAUTY PRIVATE LIMITED,2023-10-29,2023-09-14,10948.119999999999,Success,,0.9938
2023-04,CucIf6figokelh,27,0,0,bombaylooms@gmail.com,,Bombay Looms,,2024-11-14,0.0,,Pending status,0.0
2023-04,CyFgPUrwzJ5VhG,163,145,15,vidhi@oleumcottage.com,,Cocoburra Cosmeceuticals Private Ltd.,2024-08-26,2024-08-14,1200.0,Success,Successful,0.8896
2023-04,DRA8pvry1C4oTC,730,730,70,abhishek@arborealstevia.com,accounts@arborealstevia.com,Arboreal Bioinnovations Pvt Ltd,2023-10-29,,8750.0,Success,,1.0
2023-04,DUKiYoYvbaUXud,1295,0,0,folliculartechnologies@gmail.com,,follicular technologies private limited,,2024-11-14,0.0,,Pending status,0.0
2023-04,Dq1Jah4WlPL0qX,80,75,18,karan.jain@goodbrandsindia.com,,Good brands for a healthy life Pvt. Ltd.,2023-10-29,,1350.0,Success,,0.9375
2023-04,Dq7VZ3fMp7qQQ7,1336,1323,242,sugandhini@thehadenaturals.com,,The Hade,2023-10-29,,13392.699999999999,Success,,0.9903
2023-04,E2NWmnnFI68dlm,158,150,17,tasuvure@gmail.com,arnavsaraf1309@gmail.com,HI LIFE EXPORTS PRIVATE LIMITED,2024-01-10,2023-12-28,5950.0,Success,,0.9494
2023-04,EFuW7roPMY4a1a,958,818,106,namhyafoods@gmail.com,,Namhya foods Private limited,2023-10-29,2023-09-14,7950.0,Success,,0.8539
2023-04,Eh1Ax67DJ9mNdY,35,9,4,info@leaderbicycles.com,,Jindal Fine Industries,,2024-11-14,3200.0,,Pending status,0.2571
2023-04,EyqQxodBBBYpm6,812,760,168,fullyfilmy.in@gmail.com,anand@fullyfilmy.in,Plan Z Digital Private Limited,2024-08-11,2024-07-28,13440.0,Success,Successful,0.936
2023-04,FGmEEx9rbF5e8F,588,560,133,mail.ecentric@gmail.com,salendra@ecentric.in,Ecentric India Pvt Ltd,2023-10-19,,9975.0,Success,,0.9524
2023-04,FR2kZCaWIQTnDn,5463,4538,820,ratnakar@guniaa.com ,niladri@guniaa.com,GUNIAA,2024-09-04,,98160.0,Success,Successful,0.8307
2023-04,FiVc88jM7AeSta,343,214,23,punammetalcrafts@gmail.com,,Punam Metalcrafts,,2024-11-14,5410.12,,Pending status,0.6239
2023-04,G4WBGNh0UU0RUp,659,659,103,support@stylefeathers.com,,Style Feathers,2023-11-18,2023-11-14,6050.339999999999,Success,,1.0
2023-04,G6XfSND0uWWQzn,3,0,0,ashwath@advaitindia.com,,Advait Fashion Management Pvt Ltd,,2024-11-14,0.0,,Pending status,0.0
2023-04,GU1l44CZy5ajTk,18,18,4,info@quickpharmacy.in,,BOXOFHEALTH INDIA PRIVATE LIMITED,2023-10-29,2023-09-14,320.0,Success,,1.0
2023-04,GX2Z0I7L07K19g,7,4,0,"info@notsosure.in
",,NOTSOSURE,,,0.0,Success,,0.5714
2023-04,GYxvSchZt2syEE,532,0,0,divakar.venkat@hh.global,,HEALTH AND HAPPINESS (H&H) TRADING INDIA PRIVATE LIMITED,,2024-11-14,0.0,,Pending status,0.0
2023-04,GaFX8ZqIdqtVd0,517,492,95,wearhousewolves@gmail.com,,Wearhouse wolves,2023-10-29,,7600.0,Success,,0.9516
2023-04,GlLXGUtKUrQHtj,1733,1179,774,darshan.chhajed@symphonylimited.com,rajeev.jha@symphonylimited.com,SYMPHONYLIMITED,,2024-11-14,270900.0,,Pending status,0.6803
2023-04,Glk1BQ6cvvA8DJ,483,463,72,jhashankgupta@gmail.com,,Lazo,2023-11-30,2023-11-28,5760.0,Success,,0.9586
2023-04,GyK5nF2BXsxj37,32,6,0,ayush@dugaroverseas.com,,DUGAR OVERSEAS PRIVATE LIMITED,,2024-11-14,0.0,,Pending status,0.1875
2023-04,HDo52FrQhJj1iQ,692,623,193,vimal@awesomefab.in,,AWESOMEFAB SHOPPING PRIVATE LIMITED,2023-10-29,,15440.0,Success,,0.9003
2023-04,HJHvrI58d1PqIe,1187,1155,224,japjeet@fflirtygo.com,,Graffiti,2023-10-29,,17920.0,Success,,0.973
2023-04,HpV1CS2H4GXtsC,673,385,80,help@decorbajar.com,,Decorbajar,,2024-11-14,8000.0,,Pending status,0.5721
2023-04,HqywhSmhfWBnE5,711,164,164,smitgada15@gmail.com,,ZIVIRA FASHION,,2024-11-14,16400.0,,Pending status,0.2307
2023-04,ICmqJzaoWUpyj6,84,79,24,chirag@mendeserve.com,,YOUNG ELEGANCE LIFE CARE,2023-10-29,2023-09-14,1440.0,Success,,0.9405
2023-04,IEJ3ZdumZca2sH,25,0,0,shruti.bodd@gmail.com,,DUSAN FASHIONS PRIVATE LIMITED,,2024-11-14,0.0,,Pending status,0.0
2023-04,ITMw84kujaCKhO,230,26,26,suryakant@meenabazaar.shop ,,Meena Bazaar ,,2024-11-14,6500.0,,Pending status,0.113
2023-04,IoHIhwtDlPuhkJ,195,68,9,sixbyelevenstudio@gmail.com,,Divyesh Doshi HUF,,2024-11-14,720.0,,Pending status,0.3487
2023-04,IoIOst27rgeWOR,35,0,0,aesthesy.store@gmail.com,,Mango Media,,2024-11-14,0.0,,Pending status,0.0
2023-04,IxuoDJGFt0deyp,152,0,0,tomberamoureuxin@gmail.com,,Tomber Amoureux,,2024-11-14,0.0,,Pending status,0.0
2023-04,J48RMdC1b73dYg,837,837,32,sarvodayamindia@gmail.com,,SARVODAYAM MEDICALS INDIA PRIVATE LIMITED,2023-10-29,2023-09-14,3200.0,Success,,1.0
2023-04,J9gbExGT03ZUbk,2,0,0,innovationwakeup@gmail.com,,Wakeup Innovation Private Limited,,2024-11-14,0.0,,Pending status,0.0
2023-04,JNrymGlbgxRl04,133,32,1,vidushi@isakfragrances.com,,ISAK AROMAS PRIVATE LIMITED,,2024-11-14,49.28,,Pending status,0.2406
2023-04,JWOhiDzI1AfUCS,30,30,3,info@sneakare.com,krishnav@sneakare.com,BUILDOUT RETAIL PRIVATE LIMITED,2023-07-08,2023-09-14,207.7,Success,,1.0
2023-04,Je6WBJUrSvp7Ut,47,38,4,akj@rasoishop.com,,RASOISHOP VENTURES PRIVATE LIMITED,2023-10-29,2023-09-14,500.0,Success,,0.8085
2023-04,JkuJOHbtFLHR1p,172,6,6,pgm@nutcaseshop.com,snp.billing@gmail.com,SNP ENTERPRISE,,2023-09-14,600.0,Success,,0.0349
2023-04,JndcnDLnC64PHT,252,52,52,"ronak@shopmistry.com
",nupur@shopmistry.com,Mistry Accessories,,2024-11-14,7800.0,,Pending status,0.2063
2023-04,Kn942MGXKqNPT8,251,132,44,thomas@scentialsworld.com,,MAHESH BHUPATHI FRAGRANCES LLP,,2024-11-14,3520.0,,Pending status,0.5259
